treatment,treatment_descr,treated,n,firstrecruitdate,lastrecruitdate,fup_sum,fup_years,fup_mean
pfizer,BNT162b2,0,4090245,2021-09-16,2021-12-15,62770630,171856.61875427788,15.346423013780349
pfizer,BNT162b2,1,4090245,2021-09-16,2021-12-15,71606475,196047.84394250513,17.50664691234878
moderna,mRNA-1273,0,1266326,2021-10-29,2021-12-15,11928847,32659.403148528407,9.420044285594697
moderna,mRNA-1273,1,1266326,2021-10-29,2021-12-15,16801630,46000.35592060233,13.268013134058734
