treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated_descr,time,leadtime,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,0,1,1,1,1,1,3426960,NA,NA
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,1,2,1,1,NA,NA,3304464,0,122496
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,2,3,1,1,NA,NA,3180564,0,123900
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,3,4,1,0.9994800056026333,0.9994537432593319,0.9995045171230479,3052680,1656,126228
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,4,5,1,0.9989722669654738,0.9989372505077386,0.9990072834232089,2925528,1554,125598
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,5,6,1,0.9984207577561454,0.9983752363610897,0.9984645283283143,2798526,1614,125388
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,6,7,1,0.9978604944323832,0.9978062189228938,0.9979112682960992,2669784,1572,127170
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,7,8,1,0.9972897261713005,0.9972284473702641,0.9973492541494503,2527188,1530,141066
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,8,9,1,0.9967189579102178,0.996652426640521,0.9967854891799146,2402166,1440,123582
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,9,10,1,0.9961814552839835,0.9961079207227397,0.9962532390223405,2283450,1296,117420
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,10,11,1,0.995615939491561,0.995537152461657,0.9956947265214651,2167368,1296,114786
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,11,12,1,0.9950294138244975,0.9949436235030464,0.9951134533230619,2056920,1278,109170
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,Unboosted,12,13,1,0.9944516422718678,0.9943605994817565,0.9945426850619792,1951560,1194,104166
