treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated,treated_descr,time,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,0,1,1,1,1,NA,NA,NA
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,1,1,0.999266290572649,0.9992396102298363,0.9992914886741945,4047930,2976,156180
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,2,1,0.998468844770801,0.9984288242565819,0.9985059008024854,3888774,3108,159258
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,3,1,0.9976891858641614,0.9976402719023381,0.9977366175847174,3726408,2904,161598
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,4,1,0.9969080447162545,0.9968517195480943,0.9969628876431474,3561906,2790,160908
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,5,1,0.9960705784001873,0.9960068420256901,0.9961343147746845,3398208,2850,161832
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,6,1,0.9951723401921577,0.9951011926113237,0.9952434877729918,3233526,2916,162318
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,7,1,0.9942637262952565,0.9941836852668182,0.9943422850824274,3068292,2808,176574
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,8,1,0.9933180563666709,0.9932320863731631,0.9934040263601787,2888910,2742,151608
pfizer,postest,prior_covid_infection-FALSE,prior_covid_infection,FALSE,BNT162b2,Positive SARS-CoV-2 test,No prior SARS-CoV-2 infection,Prior SARS-CoV-2 infection,No prior SARS-CoV-2 infection,0,Unboosted,9,1,0.9923886910920264,0.9922938276509143,0.9924805900506036,2734560,2562,139980
