treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,q_0,q_1
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,0-6,4090245,4090245,64466.206707734425,66141.53045859,10836,9088,0.16808806587808642,0.1374023240313411,0.8174424716802824,0.82,(0.79-0.84),"10,836 / 64,466","9,088 / 66,142"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,7-13,2508962,2686772,39619.15400410678,43772.92539356605,9657,5323,0.2437457397247551,0.12160484939355685,0.49890040962716575,0.5,(0.48-0.52),"9,657 / 39,619","5,323 / 43,773"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,14-27,1546399,1799910,39897.97399041752,49732.77207392197,9585,2566,0.240237762506489,0.05159575654029379,0.21476955163907732,0.21,(0.21-0.22),"9,585 / 39,898","2,566 / 49,733"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,28-41,616473,839019,16412.919917864478,22816.87885010267,3818,1330,0.232621618767806,0.05829018108644669,0.250579380348263,0.25,(0.24-0.27),"3,818 / 16,413","1,330 / 22,817"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,42-55,260929,361091,6959.362080766598,9513.867214236823,1792,724,0.2574948650757089,0.0760994434436278,0.2955377126501259,0.3,(0.27-0.32),"1,792 /  6,959","724 /  9,514"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,56-69,105603,140334,2530.5626283367556,3360.9007529089663,718,386,0.2837313694432904,0.11485016320874836,0.40478486194211083,0.4,(0.36-0.46),"718 /  2,531","386 /  3,361"
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,All,4090245,4090245,169886.17932922655,195338.87474332648,36406,19417,0.21429641977790276,0.09940161693627939,0.4638510388521629,0.46,(0.46-0.47),"36,406 /169,886","19,417 /195,339"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,0-6,4090245,4090245,64522.477754962354,66184.0438056126,102,40,0.0015808444366840096,6.043752799010429e-4,0.3823116720888646,0.38,(0.26-0.56),"102 / 64,522","40 / 66,184"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,7-13,2518151,2693710,39856.16700889802,43928.69815195072,159,57,0.003989344985545216,0.0012975572324687439,0.32525570918791047,0.33,(0.24-0.44),"159 / 39,856","57 / 43,929"
pfizer,covidemergency,none,none,,BNT162b2,COVID-19 A&E attendance, ,Main analysis,14-27,1561992,1807932,40555.41136208077,49976.64613278576,226,45,0.00557262255293777,9.004205660467285e-4,0.16157932059691454,0.16,(0.11-0.22),"226 / 40,555","45 / 49,977"
