treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.20351933161427221,0.02879771305167627,0.02879887291049376,-7.0669200231136005,1.5841018552012515e-12,-0.2599640853141862,-0.14707457791435824,NA,Unadjusted,1,0,7,3.5,0.8158544323870365,0.7710792783762987,0.8632295971527084,0.18414556761296352,0.13677040284729158,0.22892072162370125
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6742620897080215,0.03073249597248079,0.030767521980182625,-21.914734964431453,1.8798528246313825e-106,-0.734565324682724,-0.613958854733319,NA,Unadjusted,2,7,14,10.5,0.5095322710254336,0.47971393346848545,0.5412040741430575,0.49046772897456636,0.4587959258569425,0.5202860665315145
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.3297983310226522,0.03415055980791672,0.034141235750404536,-38.94991794510237,0,-1.3967139234811363,-1.262882738564168,NA,Unadjusted,3,14,28,21,0.2645306035371985,0.2474086333078736,0.2828375035752139,0.7354693964628015,0.717162496424786,0.7525913666921265
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.1780793736568342,0.04399133025892557,0.04397962780379289,-26.786933689221318,4.587990171493562e-158,-1.2642778602057447,-1.0918808871079237,NA,Unadjusted,4,28,42,35,0.3078694733499514,0.28244318597739093,0.33558470278820496,0.6921305266500486,0.664415297211795,0.7175568140226091
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.9677281566466878,0.04419216903063134,0.04418903853812595,-21.899733251986,2.6130587621780697e-106,-1.0543370806928671,-0.8811192326005084,NA,Unadjusted,5,42,70,56,0.37994523440049505,0.34842332731443704,0.41431893282326043,0.620054765599505,0.5856810671767396,0.651576672685563
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.20727554246263594,0.028800094940273042,0.028797650036388536,-7.197654746158934,6.125701145717285e-13,-0.26371789937334605,-0.15083318555192585,NA,region- and trial-stratified,1,0,7,3.5,0.8127956594119166,0.768190216034331,0.8599911456426672,0.18720434058808344,0.1400088543573328,0.23180978396566898
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6841277593898607,0.030749651244634763,0.03083965010149507,-22.18338266284983,4.96982806539578e-109,-0.744572362884608,-0.6236831558951134,NA,region- and trial-stratified,2,7,14,10.5,0.5045301093568514,0.47493735736086673,0.5359667486721281,0.4954698906431486,0.4640332513278719,0.5250626426391333
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.3580395528083538,0.03423989002681759,0.03425427820841186,-39.64583765407903,0,-1.4251767044132562,-1.2909024012034513,NA,region- and trial-stratified,3,14,28,21,0.25716444039441627,0.2404659680561188,0.2750224904504547,0.7428355596055838,0.7249775095495453,0.7595340319438812
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.229618381913088,0.04426662163955169,0.04433771931040658,-27.733009298574412,2.79342271241817e-169,-1.3165187149181308,-1.142718048908045,NA,region- and trial-stratified,4,28,42,35,0.2924041431015098,0.26806689674005985,0.3189509183815276,0.7075958568984901,0.6810490816184724,0.7319331032599401
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.0039516099768486,0.044379898193787064,0.04425013954359593,-22.68810042932723,5.871938284406021e-114,-1.0906802897931682,-0.9172229301605289,NA,region- and trial-stratified,5,42,70,56,0.36642859358127955,0.3359878468396528,0.39962729443018713,0.6335714064187205,0.6003727055698129,0.6640121531603471
