treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,model_descr,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unadjusted,-0.7720103843697976,0.015521475272686314,0.015524636775930977,-49.72808030953123,0,-0.8024381133236884,-0.741582655415907,0.46208316911628017,0.4482347835931656,0.4763594058205536,0.5379168308837199,0.5236405941794464,0.5517652164068344
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,region- and trial-stratified,-0.7907332433580915,0.015552565201288834,0.015562597915984584,-50.809848563003555,0,-0.8212353747792993,-0.7602311119368836,0.45351213857467565,0.4398878922922352,0.4675583562048551,0.5464878614253244,0.5324416437951449,0.5601121077077649
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,Demographic adjustment,-0.7954811303818266,0.015567164083991303,0.015584363442129226,-51.043543314153055,0,-0.8260259214503824,-0.7649363393132707,0.4513640177296939,0.4377856283314366,0.4653635553948632,0.5486359822703061,0.5346364446051368,0.5622143716685635
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,Full adjustment,-0.831490195268784,0.01557522428461406,0.01558555821643062,-53.35004263063287,0,-0.8620373280519403,-0.8009430624856276,0.4353999716610802,0.4223008399514385,0.4489054185738038,0.5646000283389199,0.5510945814261963,0.5776991600485615
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,Unadjusted,-0.7613257952954299,0.012241279301443761,0.012253229756824947,-62.132663012490866,0,-0.7853416843131013,-0.7373099062777585,0.46704680789596253,0.4559638794611806,0.4783991245613114,0.5329531921040375,0.5216008754386886,0.5440361205388193
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,region- and trial-stratified,-0.7862729351138705,0.012267934156237111,0.012273295364729856,-64.06371815783127,0,-0.8103281520003635,-0.7622177182273776,0.45553946038428544,0.44471210910800163,0.46663042385654746,0.5444605396157145,0.5333695761434525,0.5552878908919984
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,Demographic adjustment,-0.8058750006007295,0.012284110388679631,0.012295857885309827,-65.54036392723185,0,-0.8299744392149596,-0.7817755619864993,0.44669689545621183,0.4360604322260587,0.45759280517975315,0.5533031045437882,0.5424071948202469,0.5639395677739413
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,Full adjustment,-0.8497914228081742,0.012294576761887619,0.012296450370063957,-69.10867748281362,0,-0.8738920226711838,-0.8256908229451646,0.4275040902528481,0.4173241493128592,0.4379323542235369,0.5724959097471519,0.5620676457764631,0.5826758506871408
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unadjusted,-1.318687107903061,0.13771500850231433,0.13785181053183682,-9.565975976779143,1.111477661966888e-21,-1.5888716917491006,-1.0485025240570216,0.2674862521220473,0.20415583254009614,0.3504621650240988,0.7325137478779526,0.6495378349759011,0.7958441674599038
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,region- and trial-stratified,-1.3115856908725325,0.13790537112094114,0.13753172442009354,-9.536604709952348,1.4758512955030016e-21,-1.5811429174676037,-1.0420284642774613,0.26939254422469505,0.20573982014456735,0.3527384384455076,0.730607455775305,0.6472615615544923,0.7942601798554326
