treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.8006492092446431,0.015311817587843977,0.015425073545024459,-51.90569801224073,0,-0.8308817978517726,-0.7704166206375136,NA,Unadjusted,0.44903735026927605,0.43566494847663734,0.46282020768917836,0.550962649730724,0.5371797923108217,0.5643350515233627
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.8211053426337225,0.015354850888981584,0.015506580228557703,-52.95205845074295,0,-0.8514976814050764,-0.7907130038623685,NA,region- and trial-stratified,0.43994509557773553,0.4267752796701211,0.453521317524553,0.5600549044222645,0.5464786824754471,0.5732247203298789
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.825130306570767,0.015428345523296482,0.015621855260940848,-52.8189701407509,0,-0.8557485802539087,-0.7945120328876254,NA,Demographic adjustment,0.4381778912863012,0.4249649516118635,0.4518016454859795,0.5618221087136988,0.5481983545140205,0.5750350483881366
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.8610832756149863,0.015463788636962444,0.015622448877976675,-55.11832890865626,0,-0.8917027127661388,-0.8304638384638339,NA,Full adjustment,0.42270392935055884,0.40995711891481446,0.4358470767903169,0.5772960706494412,0.5641529232096831,0.5900428810851855
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.8111053765689206,0.012022525793765164,0.012232650518546318,-66.30659278127642,0,-0.8350809310207365,-0.7871298221171046,NA,Unadjusted,0.44436660221648316,0.4338393689492007,0.45514928173460306,0.5556333977835168,0.544850718265397,0.5661606310507993
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.8377224707217645,0.012068149648526023,0.012322247286300943,-67.9845527571167,0,-0.8618736316115108,-0.8135713098320183,NA,region- and trial-stratified,0.43269487730780287,0.4223699747541352,0.4432721737793971,0.5673051226921971,0.5567278262206029,0.5776300252458648
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.8570760953301412,0.012143457156429768,0.01244520898905926,-68.86795521743407,0,-0.8814682567287715,-0.8326839339315109,NA,Demographic adjustment,0.42440117852316034,0.4141743507516924,0.43488052798284355,0.5755988214768397,0.5651194720171564,0.5858256492483076
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.9011939231687285,0.012188272953297101,0.01246862021649464,-72.2769566737261,0,-0.925631969729966,-0.876755876607491,NA,Full adjustment,0.4060845364617206,0.39628090238897595,0.41613070364785243,0.5939154635382794,0.5838692963521476,0.603719097611024
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.374183690464384,0.13581671259482156,0.13671084276025522,-10.051753487280006,9.02470772527431e-24,-1.6421320185706025,-1.1062353623581656,NA,Unadjusted,0.2530460754419657,0.19356691379370522,0.3308019694152056,0.7469539245580343,0.6691980305847944,0.8064330862062947
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.362935569749719,0.13611175711478127,0.1365227367257801,-9.98321307085511,1.8052436634967067e-23,-1.6305152168030916,-1.0953559226963463,NA,region- and trial-stratified,0.2559084361555148,0.19582865391822266,0.3344205578970543,0.7440915638444852,0.6655794421029457,0.8041713460817773
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.3391266934404447,0.1365486751856462,0.13709935309954452,-9.76756391015308,1.5513741167981388e-22,-1.6078364878192917,-1.0704168990615976,NA,Demographic adjustment,0.2620744399995392,0.20032054151599463,0.34286554729380103,0.7379255600004608,0.657134452706199,0.7996794584840053
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.3811846456512815,0.13696841951719982,0.13643915116835326,-10.12308148961604,4.3645381305753696e-24,-1.64860046802247,-1.113768823280093,NA,Full adjustment,0.2512806980820544,0.1923188767800184,0.3283192491854492,0.7487193019179457,0.6716807508145508,0.8076811232199816
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.635369287806101,0.10863041814688627,0.10994431269036217,-14.874523727405675,4.824058221427805e-50,-1.8508561809842208,-1.4198823946279813,NA,Unadjusted,0.19488039105722207,0.15710260045640143,0.24174244543555742,0.8051196089427779,0.7582575545644425,0.8428973995435985
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.615611620951836,0.10896959914586334,0.11097458305226898,-14.558393251100423,5.1657723958342856e-48,-1.8331178069336322,-1.39810543497004,NA,region- and trial-stratified,0.19876906193260002,0.1599142080993557,0.2470646007702987,0.8012309380674,0.7529353992297013,0.8400857919006444
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.583880600342026,0.10950950227227124,0.11239646559568686,-14.091907534170776,4.2589997227200935e-45,-1.8041736248991675,-1.3635875757848845,NA,Demographic adjustment,0.20517734005972987,0.1646104303477244,0.2557416366937285,0.7948226599402701,0.7442583633062715,0.8353895696522756
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6151250920672533,0.10983899820635673,0.11237112249065022,-14.373133028030747,7.629996939337566e-47,-1.8353684450512666,-1.39488173908324,NA,Full adjustment,0.19886579235175503,0.15955470379585235,0.24786234706243365,0.801134207648245,0.7521376529375663,0.8404452962041477
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6015814127058776,0.23143087753213354,0.23263251430802215,-6.884598300757172,5.795082596514178e-12,-2.0575327623826,-1.1456300630291554,NA,Unadjusted,0.20157748860088212,0.1277688173658812,0.3180234798157359,0.7984225113991179,0.681976520184264,0.8722311826341188
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6040084516087296,0.23196410340581317,0.23245873600904876,-6.900185723913991,5.193459556458972e-12,-2.0596192020781694,-1.1483977011392899,NA,region- and trial-stratified,0.20108884541198654,0.1275025133437214,0.31714452279161326,0.7989111545880134,0.6828554772083868,0.8724974866562786
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6173074504805423,0.2326363522912876,0.2340228734583115,-6.910894762467085,4.816062464755326e-12,-2.0759838540174074,-1.1586310469436774,NA,Demographic adjustment,0.1984322691402761,0.12543295904502058,0.3139156226237659,0.8015677308597239,0.6860843773762342,0.8745670409549794
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.6536143082747137,0.23325068416311873,0.23345368229148114,-7.083265048739199,1.4079701230047432e-12,-2.111175117624273,-1.1960534989251546,NA,Full adjustment,0.19135703393249232,0.12109558123835586,0.3023852238123018,0.8086429660675076,0.6976147761876982,0.8789044187616442
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.8465255098364235,0.1942295437771105,0.19534691186640743,-9.452545178186453,3.306901465284839e-21,-2.229398421585702,-1.4636525980871449,NA,Unadjusted,0.15778443549146415,0.10759313637927624,0.2313895562594202,0.8422155645085359,0.7686104437405799,0.8924068636207237
