treatment,outcome,treatment_descr,outcome_descr,treated_descr,n_events,time,leadtime,interval,n.risk,n.event,n.censor,sumerand,surv,surv.ll,surv.ul,se.surv_greenwood,haz_km,cml.haz_km,se.haz_km,haz_ac,cml.haz_ac,se.haz_ac,llsurv,se.llsurv
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,0,1,1,NA,NA,NA,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0,0,0,0,0,0,0,NA,NA
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,1,2,1,4244751,2786,202551,1.5472547046248053e-10,0.9993441306763087,0.9993201009812596,0.9993681603713577,1.243070521231673e-5,6.563400303103763e-4,6.563400303103763e-4,1.2430705212316731e-5,6.72608524818132e-4,6.565555157209963e-4,1.2743003041759144e-5,-7.328503304626852,0.018945647462175016
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,2,3,1,4039414,2713,261369,1.6638142715179972e-10,0.9986727127264091,0.9986373749395723,0.998708050513246,1.789566720211859e-5,6.71632073365097e-4,0.0013279721036754733,1.2890229167821776e-5,6.943283889201262e-4,0.0013284132349466952,1.3330302337046794e-5,-6.623770105437921,0.013489368645946824
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,3,4,1,3775332,2554,231942,1.7930999266683943e-10,0.9979970542420892,0.9979532353864116,0.9980408730977669,2.2325189764892094e-5,6.764967955136131e-4,0.0020044688991890866,1.3381609374690258e-5,6.981797028171032e-4,0.002005138957668952,1.3815186309186034e-5,-6.212041915054575,0.011156333927487858
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,4,5,1,3540836,2491,225431,1.9882351145440752e-10,0.9972959525512468,0.9972436526267283,0.9973468389642918,2.6371619422461788e-5,7.035061776371456e-4,0.002707975076826232,1.4090559347279005e-5,7.269013313879263e-4,0.002708892711898418,1.4564264981188707e-5,-5.911215320982972,0.009761609989271289
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,5,6,1,3312914,2288,234227,2.086102946481048e-10,0.9966061589521922,0.9965467914703063,0.996665526434078,3.0028298035670217e-5,6.906306653296766e-4,0.0033986057421559086,1.4433372745686697e-5,7.161959353063467e-4,0.0033997619724465133,1.4972827252473177e-5,-5.68404985791467,0.008862550108424192
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,6,7,1,3076399,2137,199399,2.2595449415913422e-10,0.995914951841664,0.9958485168024108,0.9959799733694438,3.3534430705515376e-5,6.946433151226482e-4,0.004093249057278557,1.502134107298769e-5,7.181670039060622e-4,0.004094646664023667,1.553542571138119e-5,-5.498074850131551,0.00822342600439915
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,7,8,1,2874863,2028,208923,2.455500992499628e-10,0.9952124366393481,0.9951389340427276,0.9952831122130218,3.696181761009426e-5,7.054249193787669e-4,0.004798673976657323,1.5658984230266323e-5,7.322918876466367e-4,0.0048003205126349625,1.626111115838538e-5,-5.339072589831924,0.007736915196149289
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,8,9,1,2663912,1709,176893,2.409800110858683e-10,0.9945735294533385,0.9944943728108241,0.9946512725843795,4.0034922160480724e-5,6.415377084528317e-4,0.005440211685110156,1.551357195290542e-5,6.637895977295211e-4,0.005442064094458624,1.605681438489129e-5,-5.213596860950891,0.0073967134508999
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,9,10,1,2485310,1548,156031,2.5077278938916974e-10,0.9939544114279575,0.9938696007395491,0.9940378086048924,4.299474633269247e-5,6.22859924918823e-4,0.0060630716100289785,1.5825943701279148e-5,6.432523637342794e-4,0.006065118077205166,1.6349176793150414e-5,-5.105201268151535,0.007131981008689035
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,10,11,1,2327731,1577,142330,2.9124631534125577e-10,0.9932801664551111,0.9931897017208088,0.9933706311894133,4.618862812793883e-5,6.774837814163235e-4,0.006740555391445302,1.7054378314927003e-5,6.990937714380075e-4,0.006742831454462676,1.760433237644066e-5,-4.999275345172716,0.006896379205300971
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,11,12,1,2183824,1490,132845,3.126420682004834e-10,0.9926030944593177,0.9925055621676481,0.9926992132395138,4.938129809317281e-5,6.822894152642338e-4,0.007422844806709536,1.7669623340452375e-5,7.039403890050181e-4,0.007425353735077172,1.823655172214441e-5,-4.90285495434034,0.006699928136858443
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,12,13,1,2049489,1410,147332,3.3591300371891093e-10,0.9919203684176304,0.9918157685685934,0.9920221412437205,5.2589586079060026e-5,6.879763687436234e-4,0.00811082117545316,1.8315320425626428e-5,7.138813984784707e-4,0.008113566868161103,1.9011504284290424e-5,-4.814217696426101,0.006534488682985866
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,13,14,1,1900747,1321,124217,3.658947056226764e-10,0.9912305748185758,0.9911203209236449,0.9913394152020332,5.586883436422396e-5,6.949899171220578e-4,0.008805811092575217,1.911508033181044e-5,7.187245984445951e-4,0.008808798402729873,1.9774753203746966e-5,-4.732004238491552,0.006398505566138699
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,14,15,1,1775209,1243,125872,3.9470837893473566e-10,0.9905365406851007,0.9904192192328024,0.9906524486259254,5.919653401016427e-5,7.001992441453373e-4,0.009506010336720555,1.9853357988883943e-5,7.261992292239396e-4,0.009509242900857117,2.0597769349365698e-5,-4.6554910164396786,0.006284636306162381
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,15,16,1,1648094,1084,107974,3.993475899771965e-10,0.9898849118958298,0.9897619363976377,0.9900064738825485,6.23773243700285e-5,6.577294741683423e-4,0.010163739810888896,1.9970539236020918e-5,6.802358234524478e-4,0.010167188773949143,2.066069056610321e-5,-4.588589530540824,0.006197854961021115
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,16,17,1,1539036,1029,96542,4.3471866163893576e-10,0.9892233885262446,0.9890933454706852,0.9893506045588571,6.565918186113011e-5,6.686003446313147e-4,0.01083234015552021,2.0835967697126145e-5,6.904879414568222e-4,0.010836012731468322,2.1525258976894225e-5,-4.52488017983673,0.006125365115507944
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,17,18,1,1441465,987,85527,4.753422538258369e-10,0.9885463165304512,0.9884092059175243,0.9886806001204311,6.90633117074616e-5,6.84720059106534e-4,0.011517060214626744,2.1787416642038348e-5,7.059035565523871e-4,0.011520967318417903,2.2469156368688978e-5,-4.463586658626893,0.006064038467083693
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,18,19,1,1354951,901,80802,4.910961163066045e-10,0.9878890336952865,0.9877462690364657,0.9880289713311602,7.240629339820602e-5,6.649686962849579e-4,0.012182028910911703,2.214595236996406e-5,6.856406231035017e-4,0.012186157204447955,2.284199961703175e-5,-4.407454626824802,0.006014533113513853
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,19,20,1,1273248,801,92285,4.944015359284231e-10,0.9872670886469584,0.9871172564307704,0.9874140938401996,7.561724449592586e-5,6.290997511875141e-4,0.012811128662099217,2.222115379159031e-5,6.529687251621213e-4,0.012815454921915428,2.3071514249790164e-5,-4.357103420622135,0.0059765767578669705
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,20,21,1,1180162,821,72539,5.898779106389395e-10,0.9865801220708508,0.9864246358087688,0.9867341948214593,7.927273221579651e-5,6.956672050108375e-4,0.013506795867110054,2.4270506353952687e-5,7.179824430992355e-4,0.013511364215638207,2.505775842335875e-5,-4.304224153896424,0.005946926030908679
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,21,22,1,1106802,754,74186,6.159244379051126e-10,0.9859087041209513,0.9857447367900285,0.9860698444289272,8.291136066845102e-5,6.81241992696074e-4,0.014188037859806128,2.480091805895559e-5,7.051130986447614e-4,0.014192838359100412,2.567870289953407e-5,-4.255017782505997,0.005925276989834901
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,22,23,1,1031862,638,63695,5.995784949527384e-10,0.9852980671644112,0.9851284457875944,0.9854662750297544,8.630106303513919e-5,6.182997338791428e-4,0.014806337593685272,2.447115211265293e-5,6.381943301735378e-4,0.014811329319087494,2.5266354199527525e-5,-4.212362896520633,0.0059136359533201064
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,23,24,1,967529,587,56473,6.274421432985732e-10,0.9847001518111322,0.9845234628769481,0.9848754272338428,8.970634486827798e-5,6.067001609254089e-4,0.01541303775461068,2.503359813834293e-5,6.251337860849692e-4,0.015418213597028524,2.580203141393444e-5,-4.172205767296799,0.005908607598873699
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,24,25,1,910469,627,50569,7.568963251522161e-10,0.9840230798153388,0.9838379098123139,0.9842054227954168,9.364320925263895e-5,6.886560662691426e-4,0.016101693820879823,2.749280272392133e-5,7.085778605017002e-4,0.016107106895807147,2.829787220914833e-5,-4.128494682289971,0.005908183504212284
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,25,26,1,859273,596,45934,8.077654320320672e-10,0.9833403537736515,0.9831481162132593,0.9835297643110968,9.766250142202077e-5,6.936095978809994e-4,0.016795303418760822,2.8401501244307557e-5,7.129118381642281e-4,0.016800957152113754,2.920200486178645e-5,-4.086319420855738,0.0059114004783003445
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,26,27,1,812743,502,59548,7.604410828405508e-10,0.9827325438400583,0.9825332387222987,0.9829304354463445,1.0129457354633272e-4,6.176614255674918e-4,0.017412964844328315,2.7559063531015262e-5,6.413548685478039e-4,0.01741880940908306,2.8625067202225634e-5,-4.0502046560999725,0.0059174228705650795
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,27,28,1,752693,485,44633,8.566154704454581e-10,0.9820992906999425,0.9818915045133421,0.9823042498635961,1.0523114121719505e-4,6.443530097928372e-4,0.018057317854121152,2.9249135040050133e-5,6.642616286873369e-4,0.018063370103496047,3.0162565133075116e-5,-4.0138691424498605,0.005931852205877086
pfizer,postest,BNT162b2,Positive SARS-CoV-2 test,Unboosted,44501,28,29,1,707575,460,44312,9.193805285250789e-10,0.9814603835139329,0.981245529769965,0.9816738237464273,1.0929229711604559e-4,6.501077624280112e-4,0.018707425616549162,3.0301576266849906e-5,6.713476135781514e-4,0.018713689277607398,3.130174211962246e-5,-3.9784999760063795,0.005950553880042535
