treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,2,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.8456993290234297,0.07487755116464842,0.07464570712569235,-11.329510585242321,9.372698017988005e-30,-0.9920022265903116,-0.6993964314565478,NA,Demographic adjustment,6,56,70,63,0.42925706129832647,0.3708334546030992,0.4968851175298876
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,3,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.23541795018868605,0.027286329163246824,0.027273946420766623,-8.63160565606438,6.049664387410058e-18,-0.28887390288966375,-0.18196199748770836,NA,Full adjustment,1,0,7,3.5,0.7902404994327358,0.7491066596324548,0.8336330199628682
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,3,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.7505147726230421,0.03114900223720713,0.031240332874204826,-24.023904471349052,1.5647841060585227e-127,-0.8117446999215262,-0.689284845324558,NA,Full adjustment,2,7,14,10.5,0.47212345394729294,0.44408259906516506,0.5019349018321094
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,3,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.4119689705724647,0.03595966144134775,0.03600131568827382,-39.21992692706963,0,-1.4825302527175381,-1.3414076884273913,NA,Full adjustment,3,14,28,21,0.24366304515583626,0.2270624355785583,0.26147733077615953
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,3,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.1921849742579502,0.04559548519397833,0.04548755897548305,-26.20903387892315,2.0965110818124656e-151,-1.2813389515945386,-1.1030309969213619,NA,Full adjustment,4,28,42,35,0.3035572741006525,0.2776652710866488,0.33186367995824384
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,3,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.1420035958334245,0.05718772464465684,0.05711069781024988,-19.996316620534525,5.9293178208101764e-89,-1.2539385066734647,-1.0300686849933842,NA,Full adjustment,5,42,56,49,0.31917887526837113,0.2853786149989265,0.35698244039051635
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,3,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.8812538896996401,0.0748994743599665,0.07461475854012516,-11.810718240490361,3.4361334424621527e-32,-1.027496129153438,-0.7350116502458425,NA,Full adjustment,6,56,70,63,0.41426314559380867,0.35790197992857625,0.4794998726509553
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.21199020990483053,0.0166866792146504,0.01668294270614076,-12.707003412941043,5.406683267206038e-37,-0.2446881767650116,-0.17929224304464947,NA,Unadjusted,1,0,7,3.5,0.8089726174466458,0.7829486417596192,0.8358615889640976
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6816882571846087,0.020454432549979102,0.020512513568192142,-33.23279981843243,3.617808726556638e-242,-0.7218920450106545,-0.6414844693585628,NA,Unadjusted,2,7,14,10.5,0.5057624141652542,0.48583216947965474,0.5265102552929611
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.6384684366999436,0.028406414684968996,0.028409649023474228,-57.672955950498206,0,-1.6941503255993766,-1.5827865478005105,NA,Unadjusted,3,14,28,21,0.19427736262894874,0.18375529488578987,0.2054019376884842
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.5922373737447764,0.04500076873928605,0.045000424501267525,-35.382718971904985,3.1490552759162386e-274,-1.6804365850562746,-1.5040381624332781,NA,Unadjusted,4,28,42,35,0.20346986395380764,0.1862926257060548,0.22223094113614952
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.3099558529213227,0.06960964277702317,0.06961730239558672,-18.81652703917992,5.529214753846825e-79,-1.4464032583175066,-1.1735084475251387,NA,Unadjusted,5,42,56,49,0.26983196841488355,0.23541549591238223,0.30927994309155044
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.9153159111401592,0.11812673748214367,0.11813754091829115,-7.747883560342854,9.343675769244297e-15,-1.1468612365621367,-0.6837705857181816,NA,Unadjusted,6,56,70,63,0.4003901184104626,0.3176321786537647,0.5047103464145327
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,1,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.2252895636522176,0.0166912693105567,0.01668589548933009,-13.501796400216014,1.5260908399419719e-41,-0.2579933178611039,-0.1925858094433313,NA,region- and trial-stratified,1,0,7,3.5,0.7982850309601252,0.772600394712828,0.8248235375182202
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,1,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.7071076362483958,0.02048155003474541,0.02055488561480676,-34.400952138552846,2.4401664250141695e-259,-0.7473944717597575,-0.6668208007370341,NA,region- and trial-stratified,2,7,14,10.5,0.49306826979119345,0.47359892192309067,0.5133379900606312
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,1,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.6949250276005385,0.028515958107935117,0.02845627928904702,-59.56242593714367,0,-1.7506983101410838,-1.6391517450599933,NA,region- and trial-stratified,3,14,28,21,0.1836129944184631,0.17365263770292383,0.1941446566276195
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,1,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.6654123011038091,0.04536219046831345,0.04539726928658066,-36.68529687524843,1.2530804242926914e-294,-1.7543893139019735,-1.5764352883056447,NA,region- and trial-stratified,4,28,42,35,0.18911267054312403,0.17301286658919446,0.20671065028284888
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,1,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.3709674210990361,0.07003457317446898,0.07009486223417317,-19.558743357236413,3.4753704218558255e-85,-1.5083508265793122,-1.23358401561876,NA,region- and trial-stratified,5,42,56,49,0.25386124999018794,0.22127459740109934,0.29124687155011186
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,1,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.9510416019550867,0.11835097791624208,0.11789921457089662,-8.066564356823552,7.230397626157822e-16,-1.182119816319604,-0.7199633875905694,NA,region- and trial-stratified,6,56,70,63,0.38633840296990213,0.30662805402592874,0.4867700774591001
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,2,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.20443410267580986,0.01678024998167831,0.016788368442649918,-12.177127478120886,4.1152179881478136e-34,-0.23733870018259248,-0.17152950516902724,NA,Demographic adjustment,1,0,7,3.5,0.8151084536137787,0.7887241017748631,0.842375413224402
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,2,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6729759924663502,0.02058331999931912,0.0206594256015655,-32.57476782971906,9.340012072211987e-233,-0.7134677225867033,-0.6324842623459971,NA,Demographic adjustment,2,7,14,10.5,0.5101880006493884,0.48994226439416905,0.5312703453507533
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,2,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.6304613779084618,0.028635180951653978,0.02858889601699833,-57.03128154857835,0,-1.6864945844595391,-1.5744281713573844,NA,Demographic adjustment,3,14,28,21,0.1958391974003086,0.1851674766079958,0.20712595937995792
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,2,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.5501179245577081,0.04541331254065862,0.045287635529415546,-34.2282812170855,9.180264643136199e-257,-1.6388800591403392,-1.461355789975077,NA,Demographic adjustment,4,28,42,35,0.2122229460540286,0.19419741016307324,0.2319216244646668
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,2,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.2363598605146613,0.06997290966043429,0.06981923005632241,-17.708013387104142,3.636838711424522e-70,-1.3732030368533696,-1.099516684175953,NA,Demographic adjustment,5,42,56,49,0.29043953644518494,0.2532943477042496,0.33303200444483766
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,2,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.8343800802041494,0.11837739278503709,0.11750385036596046,-7.100874376503494,1.239700270355853e-12,-1.0646833949662156,-0.6040767654420833,NA,Demographic adjustment,6,56,70,63,0.4341435321992773,0.3448370146206929,0.5465788142197733
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,3,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.22920141905864452,0.016799684537791883,0.0167986723853441,-13.64401982496009,2.1914015074092654e-42,-0.2621262119220065,-0.19627662619528252,NA,Full adjustment,1,0,7,3.5,0.7951683553125741,0.769413908370954,0.8217848760093635
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,3,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.7043386615491842,0.020606919413758685,0.02067811518210038,-34.06203395940466,2.6931192574071597e-254,-0.7448670225742718,-0.6638103005240966,NA,Full adjustment,2,7,14,10.5,0.4944354553327735,0.47479743308257166,0.514885722744866
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,3,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.672655739368106,0.028668826349304004,0.02862151015379276,-58.44051310990854,0,-1.7287528684526874,-1.6165586102835248,NA,Full adjustment,3,14,28,21,0.18774779375704032,0.1775056448762389,0.19858091885028636
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,3,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.5947679823720509,0.045449947697372414,0.04533703283171889,-35.1758349138436,4.682920752840719e-271,-1.6836269338881298,-1.505909030855972,NA,Full adjustment,4,28,42,35,0.20295561231994447,0.18569923431133253,0.22181556496407084
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,3,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.2771232151913845,0.06999650557759138,0.06983680566748056,-18.28725129944017,1.0455605242042357e-74,-1.4140008390949692,-1.1402455912877998,NA,Full adjustment,5,42,56,49,0.2788383055425836,0.2431684565239815,0.3197404866950387
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,3,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.8732755332416318,0.11839619295697937,0.11753426002359271,-7.429965807980913,1.0862575487384384e-13,-1.1036384498374392,-0.6429126166458242,NA,Full adjustment,6,56,70,63,0.41758150455985127,0.3316621496144076,0.5257588577810212
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-1.088365539442444,0.334523161254521,0.3346142400059588,-3.252597795667819,0.0011435523697083067,-1.7441973985683648,-0.4325336803165233,NA,Unadjusted,1,0,7,3.5,0.3367664756439507,0.17478521555048449,0.6488629988552442
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-1.073994784455136,0.27487885300085235,0.27518311724611133,-3.9028367554053243,9.507182724605522e-5,-1.6133437834109772,-0.534645785499295,NA,Unadjusted,2,7,14,10.5,0.3416410056014149,0.19922034940312822,0.5858767794456708
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.3100978442488707,0.2496714512902808,0.24995766255759758,-5.241278986384287,1.5946739866913337e-7,-1.8000058605215778,-0.8201898279761635,NA,Unadjusted,3,14,28,21,0.2697936573354583,0.16529791948672398,0.44034805619128653
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.9834119338376281,0.4089603359820702,0.40904820956057525,-4.848846388958239,1.241815347600769e-6,-2.785131692516948,-1.1816921751583083,NA,Unadjusted,4,28,42,35,0.13759895694714191,0.06172096030711321,0.306759208844639
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-2.1681389435993776,0.5345227477480334,0.5345374459750399,-4.0561030100417295,4.989825982613608e-5,-3.2158130860984806,-1.1204648011002747,NA,Unadjusted,5,42,56,49,0.11439030574716845,0.04012269734984177,0.326128174654795
