treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.22740648082700327,0.027212477848842193,0.02721076002234914,-8.357226356052768,6.421002452024483e-17,-0.2807385904627699,-0.17407437119123664,NA,Unadjusted,1,0,7,3.5,0.7965969150988594,0.7552257328876398,0.8402344061009747
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.7422836657028777,0.03104266899769511,0.031082434621319096,-23.881130122083604,4.8110145236809585e-126,-0.803204118112484,-0.6813632132932714,NA,Unadjusted,2,7,14,10.5,0.4760255899946122,0.44789156507272593,0.5059268358691342
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.397113899629022,0.03573487477068161,0.0357368815522382,-39.094454774594645,0,-1.4671569003911826,-1.3270708988668614,NA,Unadjusted,3,14,28,21,0.24730969554346144,0.2305801163936191,0.265253077613123
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.1685428451688424,0.04518345038764431,0.04517927004959488,-25.8645800139332,1.6679643450559814e-147,-1.2570925873138574,-1.0799931030238274,NA,Unadjusted,4,28,42,35,0.31081952361457915,0.2844799258482323,0.33959786783526485
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.1535542923530542,0.056863311953434276,0.05686453712012904,-20.286005140886243,1.7093328702349094e-91,-1.265006737106048,-1.0421018476000603,NA,Unadjusted,5,42,56,49,0.3155133473987122,0.2822373946708595,0.35271255427663084
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.8999813697071599,0.07467600641621179,0.0746828458884656,-12.050710695348014,1.9228482153035857e-33,-1.0463570579115078,-0.7536056815028122,NA,Unadjusted,6,56,70,63,0.4065772343229781,0.35121487690464076,0.4706664163164256
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,1,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.23310027154159296,0.027214901689322835,0.027196203566332622,-8.57105922791952,1.025374901735257e-17,-0.2864038510478247,-0.17979669203536125,NA,region- and trial-stratified,1,0,7,3.5,0.7920741470464926,0.7509592790078374,0.8354400457616304
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,1,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.752425989187054,0.031059726512328373,0.031141412175170382,-24.161588593178088,5.6408465621817255e-129,-0.813462035478105,-0.6913899428960029,NA,region- and trial-stratified,2,7,14,10.5,0.4712219855069611,0.4433206147064219,0.5008793912554007
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,1,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.4246331537568844,0.03582216552604922,0.03589216730008957,-39.69203480652809,0,-1.4949805089921462,-1.3542857985216226,NA,region- and trial-stratified,3,14,28,21,0.24059670901984018,0.22425297560444757,0.25813158659389307
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,1,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.2325520481973193,0.045457099803615036,0.04546142166492502,-27.112043641791207,7.10077987514958e-162,-1.3216547973465613,-1.1434492990480773,NA,region- and trial-stratified,4,28,42,35,0.2915475839691708,0.2666936127308632,0.31871777073281227
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,1,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.1956475274295275,0.057105514965591755,0.057178120884963955,-20.910927272951795,4.258756001478915e-97,-1.3077145850677343,-1.0835804697913207,NA,region- and trial-stratified,5,42,56,49,0.3025080085157269,0.27043741235914404,0.3383817882957084
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,1,treated_period_6,treated_period_6,treated_period_6,numeric,continuous,NA,NA,NA,NA,treated_period_6,-0.9249285578572038,0.07479722845487283,0.07473052569519897,-12.376850681201958,3.4876143189227146e-35,-1.071397696765539,-0.7784594189488688,NA,region- and trial-stratified,6,56,70,63,0.3965597491412258,0.3425294304105327,0.45911276718754107
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,2,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.2141952377504135,0.027271248578106515,0.027274397830408005,-7.85334433714276,4.050874965908749e-15,-0.2676520751980306,-0.16073840030279643,NA,Demographic adjustment,1,0,7,3.5,0.8071907755263521,0.7651739577931801,0.8515147979865565
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,2,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.725705636786027,0.03112951879386289,0.03120197458080129,-23.258324081596964,1.1717659195638176e-119,-0.7868603832109318,-0.6645508903611221,NA,Demographic adjustment,2,7,14,10.5,0.4839829322730119,0.45527193318201287,0.5145045447770583
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,2,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.3802849682602578,0.03592781150191692,0.0359770407328968,-38.365717139101676,4.94e-322,-1.450798672367066,-1.3097712641534496,NA,Demographic adjustment,3,14,28,21,0.251506871371161,0.23438301808020953,0.26988178096274296
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,2,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-1.1576703159331851,0.04555710830531805,0.045476770616389287,-25.4563000020053,6.012084618306309e-143,-1.2468031484744975,-1.0685374833918728,NA,Demographic adjustment,4,28,42,35,0.31421735601620354,0.28742217573783846,0.34351054009092485
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,2,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-1.1096621608986461,0.05716266403913,0.057118766319598904,-19.427278150401733,4.537961375180329e-84,-1.2216128857264195,-0.9977114360708729,NA,Demographic adjustment,5,42,56,49,0.32967031778770856,0.29475437820133693,0.36872232091498
