treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,q_0,q_1
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0-6,1541333,1541333,24860.002737850788,25141.054072553045,35,12,0.0014078839961956433,4.773069563976883e-4,0.3390243497954788,0.34,(0.16-0.67),"35 / 24,860","12 / 25,141"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,7-13,1012301,1045305,16443.849418206708,17300.588637919234,50,18,0.0030406505635255797,0.0010404270268901605,0.342172507216286,0.34,(0.19-0.60),"50 / 16,444","18 / 17,301"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,14-27,673721,732304,18489.23203285421,21120.068446269677,68,21,0.003677816357064926,9.94314959415253e-4,0.27035470585833277,0.27,(0.16-0.45),"68 / 18,489","21 / 21,120"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,28-41,313415,381931,8780.522929500343,10875.657768651608,41,7,0.004669425765320917,6.436392307394091e-4,0.1378411957032523,0.14,(0.05-0.31),"41 /  8,781","7 / 10,876"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,42-55,152458,189876,4340.66803559206,5420.7446954141,28,NA,NA,NA,NA,NA,NA,"28 /  4,341","-- /  5,421"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,56-69,73692,91541,1898.6228610540725,2377.13620807666,15,NA,NA,NA,NA,NA,NA,"15 /  1,899","-- /  2,377"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,All,1541333,1541333,74812.89801505818,82235.24982888432,237,66,0.003167902945723305,8.025755395324178e-4,0.2533459999511353,0.25,(0.19-0.33),"237 / 74,813","66 / 82,235"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0-6,2548912,2548912,39662.47501711157,41042.98973305955,67,28,0.001689254136840785,6.822115099828217e-4,0.40385368613551675,0.4,(0.25-0.64),"67 / 39,662","28 / 41,043"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,7-13,1505850,1648405,23412.317590691306,26628.109514031486,109,39,0.004655668947671297,0.001464617680780126,0.31458802102170685,0.31,(0.21-0.46),"109 / 23,412","39 / 26,628"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,14-27,888271,1075628,22066.179329226557,28856.577686516084,158,24,0.007160278979094931,8.316994572511128e-4,0.11615461627673071,0.12,(0.07-0.18),"158 / 22,066","24 / 28,857"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,28-41,320006,461811,8184.539356605065,12082.422997946613,69,NA,NA,NA,NA,NA,NA,"69 /  8,185","-- / 12,082"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,42-55,119063,173886,2921.6399726214922,4173.952087611226,20,NA,NA,NA,NA,NA,NA,"20 /  2,922","-- /  4,174"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,56-69,36959,50248,757.8151950718686,1022.2559890485968,7,NA,NA,NA,NA,NA,NA,7 /    758,"-- /  1,022"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,All,2548912,2548912,97004.96646132786,113806.30800821356,430,104,0.004432762730467253,9.138333526511921e-4,0.20615435750039926,0.21,(0.16-0.26),"430 / 97,005","104 /113,806"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0-6,1541333,1541333,24859.57015742642,25140.969199178646,118,41,0.004746662925092826,0.001630804273104136,0.34356858678189034,0.34,(0.23-0.49),"118 / 24,860","41 / 25,141"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,7-13,1012219,1045283,16441.36618754278,17299.937029431894,153,59,0.009305796018090295,0.0034104170379131997,0.3664831070102345,0.37,(0.27-0.50),"153 / 16,441","59 / 17,300"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,14-27,673543,732258,18480.035592060234,21118.255989048597,231,49,0.0124999759253303,0.002320267356613642,0.18562174603166934,0.19,(0.13-0.25),"231 / 18,480","49 / 21,118"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,28-41,313118,381893,8768.520191649555,10874.565366187542,133,13,0.015167895733040414,0.0011954500765999445,0.07881449725395204,0.08,(0.04-0.14),"133 /  8,769","13 / 10,875"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,42-55,152158,189857,4330.811772758385,5419.953456536618,75,12,0.01731776949341553,0.002214041152978474,0.12784793987587634,0.13,(0.06-0.24),"75 /  4,331","12 /  5,420"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,56-69,73499,91527,1893.1526351813827,2376.7337440109513,36,9,0.019015899368595202,0.0037867093959004818,0.1991338575420861,0.2,(0.08-0.42),"36 /  1,893","9 /  2,377"
