treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated,treated_descr,time,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,0,1,1,1,1,NA,NA,NA
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,1,1,0.9992969415579224,0.999272127730555,0.9993217553852899,4352418,3066,167436
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,2,1,0.9985318485474262,0.998494627806375,0.9985676907425125,4181916,3198,170760
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,3,1,0.997786055180438,0.9977405631635976,0.9978301686513134,4007958,2994,173460
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,4,1,0.9970347476295902,0.9969809843369608,0.9970871323762549,3831504,2886,172524
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,5,1,0.9962282982401482,0.9961676422176945,0.996288954262602,3656094,2958,173532
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,6,1,0.9953598142822876,0.9952908869840448,0.9954259844886009,3479604,3036,173802
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,7,1,0.9944734092268839,0.9943975891988167,0.9945478507089862,3302766,2940,188658
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,8,1,0.993548404884464,0.9934656921265727,0.9936297390963907,3111168,2892,161826
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,9,1,0.992645457277482,0.9925558517897662,0.9927336842192329,2946450,2682,149256
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,10,1,0.9917549165841837,0.9916597969126085,0.991850036255759,2794512,2502,141234
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,11,1,0.9908354264256234,0.9907320354782589,0.990936060281058,2650776,2460,133716
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,12,1,0.989848387514785,0.9897394823835611,0.9899572926460087,2514600,2502,127620
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,13,1,0.9887469292888633,0.9886297528818504,0.9888627271499114,2384478,2658,122484
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,14,1,0.9875324302938233,0.9874069826110212,0.9876564994306606,2259336,2772,127074
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,15,1,0.9862710607359781,0.9861373417773869,0.9864047796945694,2129490,2718,107070
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,16,1,0.9849862558967304,0.9848442656623501,0.9851282461311108,2019702,2634,152700
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,17,1,0.9837841638153741,0.9836339023052046,0.9839344253255436,1864368,2274,133998
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,18,1,0.9826647844919093,0.9825062517059506,0.9828219387319032,1728096,1968,117492
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,19,1,0.9815095629733582,0.9813427589116104,0.9816749884891413,1608636,1890,100038
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,20,1,0.9803860480119989,0.9802109726744619,0.980559744803571,1506708,1728,93126
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,21,1,0.979325946165023,0.9791425995516969,0.9795065356864194,1411854,1524,102282
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,22,1,0.9782823868696254,0.978092147526475,0.9784712476668109,1308048,1392,78966
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,23,1,0.9772870766829979,0.9770885660640583,0.9774842087559725,1227690,1254,75480
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,24,1,0.9763152017777729,0.976109798429009,0.9765206051265367,1150956,1140,69906
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,25,1,0.9753061061314968,0.9750924315069438,0.9755184022100849,1079910,1116,61800
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,26,1,0.9742625468360991,0.9740392223897921,0.9744831141904765,1016994,1092,56148
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,27,1,0.973176252615791,0.9729446568936948,0.9734064697919222,959754,1068,52068
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,28,1,0.9721023653091665,0.9718624983112812,0.9723422323070519,906618,1002,61200
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,29,1,0.9710725914734175,0.9708230746537783,0.9713207297470919,844416,894,47724
pfizer,postest,none,none,,BNT162b2,Positive SARS-CoV-2 test, ,Main analysis,,0,Unboosted,30,1,0.9700979594762629,0.9698387928348695,0.9703543690257265,795798,798,44268
