treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,rrECI,q_0,q_1
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0-6,1639440,1639440,27722.918548939084,27748.062970568106,6600,4770,0.23807017245854054,0.17172369851741195,0.7213154707455731,0.72,(0.69-0.75),0.72 (0.69-0.75),"6,600 / 27,723","4,770 / 27,748"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,7-13,1184520,1187388,19615.375770020535,19706.340862423,5880,3144,0.2997648410583492,0.15933957612534264,0.531548581757549,0.53,(0.51-0.56),0.53 (0.51-0.56),"5,880 / 19,615","3,144 / 19,706"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,14-27,825096,832836,21871.515400410677,22214.92128678987,6570,2304,0.30020782189956124,0.10357903007148138,0.3450244214693886,0.35,(0.33-0.36),0.35 (0.33-0.36),"6,570 / 21,872","2,304 / 22,215"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,28-41,369606,380022,10652.490075290896,11058.387405886378,3360,1596,0.3151375853225874,0.1440535533374465,0.45711321037758007,0.46,(0.43-0.49),0.46 (0.43-0.49),"3,360 / 10,652","1,596 / 11,058"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,42-69,193902,203916,8541.31690622861,9122.817248459958,4308,2832,0.5042547943466649,0.3102111905702965,0.6151873894867376,0.62,(0.59-0.65),0.62 (0.59-0.65),"4,308 /  8,541","2,832 /  9,123"
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,All,1639440,1639440,88403.6167008898,89850.52977412731,26712,14634,0.30213695996592815,0.16281484412808056,0.5388776141338057,0.54,(0.53-0.55),0.54 (0.53-0.55),"26,712 / 88,404","14,634 / 89,851"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0-6,2712984,2712984,45685.09514031485,45740.92813141684,14478,10596,0.31686483207573846,0.23156504322711716,0.730800706756146,0.73,(0.71-0.75),0.73 (0.71-0.75),"14,478 / 45,685","10,596 / 45,741"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,7-13,1926660,1932426,31476.621492128677,31657.90006844627,12594,7212,0.39994762472040135,0.22777884775709656,0.5695216915373208,0.57,(0.55-0.59),0.57 (0.55-0.59),"12,594 / 31,477","7,212 / 31,658"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,14-27,1304406,1320234,32663.392197125257,33400.10951403149,16236,5928,0.49691715734988817,0.17739462792811772,0.3569903459847957,0.36,(0.35-0.37),0.36 (0.35-0.37),"16,236 / 32,663","5,928 / 33,400"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,28-41,474828,494412,12324.51471594798,12956.553045859,5958,2874,0.4834267423357708,0.2214323508610148,0.45804737609491997,0.46,(0.44-0.48),0.46 (0.44-0.48),"5,958 / 12,325","2,874 / 12,957"
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,42-69,191058,203340,6806.0971937029435,7317.577002053388,3744,2442,0.5498011405805561,0.33303373498032923,0.6057348928535619,0.61,(0.58-0.64),0.61 (0.58-0.64),"3,744 /  6,806","2,442 /  7,318"
