treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,rrECI,q_0,q_1
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,All,2712984,2712984,128955.72073921972,131073.06776180697,52998,29034,0.4109627684309639,0.22151003631624877,0.5390026866958373,0.54,(0.53-0.55),0.54 (0.53-0.55),"52,998 /128,956","29,034 /131,073"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0-6,1639440,1639440,27776.158795345655,27776.873374401097,54,24,0.0018001049161764696,7.560246150437292e-4,0.4199891952128938,0.42,(0.24-0.71),0.42 (0.24-0.71),"54 / 27,776","24 / 27,777"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,7-13,1191030,1191324,19787.96988364134,19799.994524298425,72,30,0.0034364313469172707,0.0012626266118063903,0.3674237848339552,0.37,(0.22-0.59),0.37 (0.22-0.59),"72 / 19,788","30 / 19,800"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,14-27,837324,838392,22285.560574948664,22350.948665297743,96,18,0.0041282336017797,6.711124536422526e-4,0.16256649172007442,0.16,(0.09-0.28),0.16 (0.09-0.28),"96 / 22,286","18 / 22,351"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,28-41,380184,382554,11039.110198494182,11145.82340862423,54,6,0.004801111597493574,5.383182363500771e-4,0.11212366665901012,0.11,(0.04-0.26),0.11 (0.04-0.26),"54 / 11,039","6 / 11,146"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,42-69,202746,205956,8999.096509240246,9251.882272416153,66,24,0.006778458252710745,0.00237789450321817,0.35080167415167546,0.35,(0.21-0.58),0.35 (0.21-0.58),"66 /  8,999","24 /  9,252"
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,All,1639440,1639440,89887.89596167009,90325.52224503765,324,90,0.003604489753972657,9.853250530736846e-4,0.2733604810466494,0.27,(0.21-0.35),0.27 (0.21-0.35),"324 / 89,888","90 / 90,326"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0-6,2712984,2712984,45804.88706365503,45804.273785078716,132,42,0.0028817885702143455,9.169450038018504e-4,0.31818607835398854,0.32,(0.22-0.45),0.32 (0.22-0.45),"132 / 45,805","42 / 45,804"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,7-13,1940928,1941198,31851.767282683093,31864.073921971252,132,54,0.0041441970496803385,0.0015377820212189818,0.37106875054061395,0.37,(0.26-0.52),0.37 (0.26-0.52),"132 / 31,852","54 / 31,864"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,14-27,1331004,1332168,33637.229295003424,33709.33059548255,210,42,0.006183624643272772,0.0011569497023837805,0.1870989539512942,0.19,(0.13-0.26),0.19 (0.13-0.26),"210 / 33,637","42 / 33,709"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,28-41,496752,499272,12984.424366872005,13093.223819301847,114,18,0.008779750012704106,0.00106925537921084,0.12178654035293157,0.12,(0.06-0.21),0.12 (0.06-0.21),"114 / 12,984","18 / 13,093"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,42-69,202668,205698,7234.557152635181,7419.926078028748,72,18,0.009952233216344702,0.0017520390180832787,0.17604481124958754,0.18,(0.09-0.32),0.18 (0.09-0.32),"72 /  7,235","18 /  7,420"
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,All,2712984,2712984,131512.86516084874,131890.8281998631,660,162,0.0050033127876517895,0.001190378452716115,0.237918056143517,0.24,(0.20-0.28),0.24 (0.20-0.28),"660 /131,513","162 /131,891"
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0-6,1639440,1639440,27776.48733744011,27776.96372347707,12,6,3.600167248837449e-4,1.8000527522646413e-4,0.49999142480003034,0.5,(0.13-1.61),0.50 (0.13-1.61),"12 / 27,776","6 / 27,777"
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,7-13,1191066,1191336,19789.00205338809,19800.361396303902,18,6,9.095961459521e-4,3.030247721195639e-4,0.3331421020945282,0.33,(0.11-0.88),0.33 (0.11-0.88),"18 / 19,789","6 / 19,800"
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,14-27,837402,838416,22289.196440793978,22351.78097193703,30,6,0.0011664844028389674,1.7895665696715868e-4,0.153415387751107,0.15,(0.04-0.44),0.15 (0.04-0.44),"30 / 22,289","6 / 22,352"
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,28-41,380298,382572,11043.400410677617,11146.464065708418,12,6,0.001086621833289452,8.971454930505305e-5,0.08256280755326502,0.08,(0.00-0.56),0.08 (0.00-0.56),"12 / 11,043","6 / 11,146"
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,42-69,202860,205968,9005.2977412731,9252.632443531827,24,6,0.002220914907492282,5.403867526906156e-4,0.24331718017093526,0.24,(0.07-0.67),0.24 (0.07-0.67),"24 /  9,005","6 /  9,253"
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,All,1639440,1639440,89903.3839835729,90328.20260095825,90,24,9.565824576271109e-4,2.3248552938412196e-4,0.24303762580052252,0.24,(0.14-0.40),0.24 (0.14-0.40),"90 / 89,903","24 / 90,328"
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0-6,2712984,2712984,45805.56878850103,45804.47912388775,42,6,8.514248601534779e-4,1.309915561701237e-4,0.15384981376572812,0.15,(0.05-0.37),0.15 (0.05-0.37),"42 / 45,806","6 / 45,804"
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,7-13,1941018,1941228,31854.29979466119,31865.04038329911,30,12,9.417880849174411e-4,2.510588376405418e-4,0.2665767826766996,0.27,(0.11-0.60),0.27 (0.11-0.60),"30 / 31,854","12 / 31,865"
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,14-27,1331190,1332222,33646.028747433265,33711.266255989045,48,12,0.0013671747220244878,2.076457154366428e-4,0.15187942849701372,0.15,(0.06-0.34),0.15 (0.06-0.34),"48 / 33,646","12 / 33,711"
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,28-41,497010,499308,12993.683778234086,13094.433949349761,36,6,0.0023857745447006,1.52736651903866e-4,0.06401973407048549,0.06,(0.01-0.25),0.06 (0.01-0.25),"36 / 12,994","6 / 13,094"
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,42-69,202872,205722,7243.928815879534,7421.1225188227245,24,6,0.0030370259784681265,6.737525202310219e-4,0.2218461498214981,0.22,(0.07-0.60),0.22 (0.07-0.60),"24 /  7,244","6 /  7,421"
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,All,2712984,2712984,131543.5099247091,131896.3422313484,168,30,0.0012771439662523625,2.1228791887865648e-4,0.1662208212137523,0.17,(0.11-0.25),0.17 (0.11-0.25),"168 /131,544","30 /131,896"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0-6,1639440,1639440,27775.17864476386,27776.714579055442,186,54,0.006588616488862761,0.0019080730317891429,0.28960147172240236,0.29,(0.21-0.40),0.29 (0.21-0.40),"186 / 27,775","54 / 27,777"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,7-13,1190892,1191300,19784.53661875428,19799.195071868584,186,72,0.00924964802190664,0.0034849901599301736,0.37677002970020135,0.38,(0.28-0.50),0.38 (0.28-0.50),"186 / 19,785","72 / 19,799"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,14-27,837090,838338,22273.724845995894,22348.991101984942,312,54,0.013872848036710319,0.0021924927070040325,0.15804200415100492,0.16,(0.11-0.21),0.16 (0.11-0.21),"312 / 22,274","54 / 22,349"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,28-41,379788,382512,11022.956878850102,11144.39972621492,198,30,0.017690353155073044,0.0024227415260857903,0.13695269420842643,0.14,(0.09-0.21),0.14 (0.09-0.21),"198 / 11,023","30 / 11,144"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,42-69,202326,205920,8972.106776180699,9249.798767967146,234,36,0.02585791785446842,0.003783866101088386,0.1463329770936877,0.15,(0.10-0.21),0.15 (0.10-0.21),"234 /  8,972","36 /  9,250"
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,All,1639440,1639440,89828.50376454483,90319.09924709103,1104,234,0.012267820945660209,0.0025797422908588673,0.21028529045913907,0.21,(0.18-0.24),0.21 (0.18-0.24),"1,104 / 89,829","234 / 90,319"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0-6,2712984,2712984,45803.01711156742,45804.030116358656,384,90,0.008361894568366206,0.0018993961836761702,0.22714902324429628,0.23,(0.18-0.29),0.23 (0.18-0.29),"384 / 45,803","90 / 45,804"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,7-13,1940688,1941156,31845.127994524297,31863.104722792606,372,108,0.011618731759018858,0.0033267316829980824,0.2863248547257113,0.29,(0.23-0.36),0.29 (0.23-0.36),"372 / 31,845","108 / 31,863"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,14-27,1330536,1332108,33614.05065023956,33706.94866529774,594,102,0.01758193340485694,0.0028777449113886787,0.16367624908610523,0.16,(0.13-0.20),0.16 (0.13-0.20),"594 / 33,614","102 / 33,707"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,28-41,496062,499206,12957.911019849418,13091.35112936345,342,36,0.026393143113586093,0.0024443619061003644,0.0926135207004621,0.09,(0.06-0.13),0.09 (0.06-0.13),"342 / 12,958","36 / 13,091"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,42-69,202002,205662,7200.632443531827,7417.771389459274,270,66,0.036941199552400716,0.008223494200250172,0.22261037269743308,0.22,(0.17-0.30),0.22 (0.17-0.30),"270 /  7,201","66 /  7,418"
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,All,2712984,2712984,131420.73921971253,131883.20602327172,1956,384,0.014853059049809459,0.002904084693940614,0.19552098218971728,0.2,(0.17-0.22),0.20 (0.17-0.22),"1,956 /131,421","384 /131,883"
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0-6,1639440,1639440,27733.91101984942,27760.21902806297,5130,2568,0.18493605162031157,0.09250647472932377,0.5002079038609893,0.5,(0.48-0.52),0.50 (0.48-0.52),"5,130 / 27,734","2,568 / 27,760"
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,7-13,1186248,1189188,19672.47638603696,19747.003422313483,3582,2322,0.18182764232666035,0.11753682066907145,0.6464188786978387,0.65,(0.61-0.68),0.65 (0.61-0.68),"3,582 / 19,672","2,322 / 19,747"
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,14-27,829902,835044,21970.885694729637,22219.81930184805,4338,2616,0.19730656561741966,0.11768772574052874,0.596471411745755,0.6,(0.57-0.63),0.60 (0.57-0.63),"4,338 / 21,971","2,616 / 22,220"
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,28-41,371586,379302,10726.781656399726,11030.833675564681,2100,1284,0.19577167385961614,0.11631033861403242,0.594112193664116,0.59,(0.55-0.64),0.59 (0.55-0.64),"2,100 / 10,727","1,284 / 11,031"
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,42-69,195348,203322,8584.919917864476,9099.822039698836,1722,1062,0.20058428226181435,0.11615611771183407,0.5790888318967101,0.58,(0.54-0.63),0.58 (0.54-0.63),"1,722 /  8,585","1,062 /  9,100"
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,All,1639440,1639440,88688.97467488021,89857.69746748802,16866,9846,0.19013637334084757,0.10955099315294296,0.5761706254728894,0.58,(0.56-0.59),0.58 (0.56-0.59),"16,866 / 88,689","9,846 / 89,858"
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0-6,2712984,2712984,45755.4250513347,45779.17590691307,6048,3684,0.1321154812400473,0.08045142637536717,0.6089477600977807,0.61,(0.58-0.63),0.61 (0.58-0.63),"6,048 / 45,755","3,684 / 45,779"
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,7-13,1935384,1938144,31715.498973305956,31792.714579055442,4500,2712,0.14172881226883158,0.08523965430071538,0.6014278461533467,0.6,(0.57-0.63),0.60 (0.57-0.63),"4,500 / 31,715","2,712 / 31,793"
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,14-27,1322232,1327770,33276.2135523614,33544.147843942505,5352,3186,0.16068534935882325,0.09491968658178257,0.5907177409797287,0.59,(0.57-0.62),0.59 (0.57-0.62),"5,352 / 33,276","3,186 / 33,544"
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,28-41,487404,495348,12657.713894592745,12963.835728952772,2526,1428,0.19948309947807052,0.10999830835678086,0.5514166796314147,0.55,(0.52-0.59),0.55 (0.52-0.59),"2,526 / 12,658","1,428 / 12,964"
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,42-69,195294,202956,6885.2922655715265,7286.401095140315,1578,1020,0.2290389338859965,0.1395750778362024,0.6093945490755538,0.61,(0.56-0.66),0.61 (0.56-0.66),"1,578 /  6,885","1,020 /  7,286"
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,All,2712984,2712984,130290.14373716632,131366.2751540041,19992,12024,0.15341912616447576,0.09149989208347913,0.5964047271745311,0.6,(0.58-0.61),0.60 (0.58-0.61),"19,992 /130,290","12,024 /131,366"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0-6,1639440,1639440,27776.57221081451,27776.991101984942,12,0,2.880124998607743e-4,0,0,0,(NA-0.59),0.00 (NA-0.59),"12 / 27,777","0 / 27,777"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,7-13,1191072,1191342,19789.35523613963,19800.503764544832,30,6,0.0014149020857873108,2.020150622209157e-4,0.14277670819073396,0.14,(0.04-0.41),0.14 (0.04-0.41),"30 / 19,789","6 / 19,801"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,14-27,837426,838428,22290.52977412731,22352.101300479124,60,12,0.00255713976193424,4.0264670775302377e-4,0.1574597969758441,0.16,(0.07-0.32),0.16 (0.07-0.32),"60 / 22,291","12 / 22,352"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,28-41,380340,382578,11044.876112251883,11146.639288158794,72,6,0.0064283201801821005,3.5885255605689573e-4,0.05582369048187799,0.06,(0.01-0.15),0.06 (0.01-0.15),"72 / 11,045","6 / 11,147"
