treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.6232914986178709,0.010286524296658214,0.010289866802773263,-60.573330108596274,0,-0.6434592669570208,-0.603123730278721,NA,Unadjusted,0.5361767050623958,0.5254715300788448,0.5470999713503629,0.4638232949376042,0.4529000286496371,0.47452846992115516
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.6964312408317441,0.010398855296691049,0.01039559792611288,-66.9928988964037,0,-0.7168062383646846,-0.6760562432988036,NA,Full adjustment,0.4983606631779261,0.488309311749971,0.5086189114704243,0.501639336822074,0.49138108852957574,0.511690688250029
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.6208723388785944,0.007301912922557005,0.007306708538687627,-84.97291709272292,0,-0.6351932244599534,-0.6065514532972354,NA,Unadjusted,0.5374753723688992,0.5298331017111451,0.5452278745327969,0.4625246276311008,0.45477212546720314,0.47016689828885494
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-0.7124758412608968,0.0074000518782127945,0.007407020090805998,-96.18926808977622,0,-0.7269933338716411,-0.6979583486501525,NA,Full adjustment,0.4904284700662464,0.48336010995094325,0.4976001935201682,0.5095715299337535,0.5023998064798318,0.5166398900490567
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.3002869498657847,0.11967753924945737,0.11966478012293044,-10.866078962665647,1.67234537388041e-27,-1.5348256091246328,-1.0657482906069367,NA,Unadjusted,0.27245360129167095,0.2154932679527568,0.34446999464073585,0.727546398708329,0.6555300053592641,0.7845067320472432
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.3146364862578663,0.1203815127305528,0.12016143838277532,-10.940585465281135,7.3722283102827515e-28,-1.5501485778186348,-1.0791243946970979,NA,Full adjustment,0.268571935085693,0.21221644082839228,0.3398930075073776,0.731428064914307,0.6601069924926224,0.7877835591716077
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.4377702276164903,0.08882157843204506,0.08884366221784816,-16.18314904771734,6.631423663013433e-59,-1.6119006058181147,-1.263639849414866,NA,Unadjusted,0.23745664308210324,0.19950806731151097,0.2826234452754287,0.7625433569178968,0.7173765547245713,0.8004919326884891
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.4472198427746306,0.08957613256281267,0.08997286445389314,-16.085070221547326,3.2468396606433615e-58,-1.6235634166901651,-1.270876268859096,NA,Full adjustment,0.23522333774481827,0.19719475851800103,0.2805856455599554,0.7647766622551817,0.7194143544400446,0.8028052414819989
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.418909974023804,0.24341014125286559,0.24342631255850686,-5.828909615852529,5.579070881877919e-9,-1.8960167795278675,-0.9418031685197404,NA,Unadjusted,0.24197763510350967,0.1501655721169327,0.3899241022082771,0.7580223648964903,0.6100758977917229,0.8498344278830673
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated,treated,treated,numeric,continuous,NA,NA,NA,NA,treated,-1.493139647035417,0.24478235259447662,0.24669273397212427,-6.052629207977153,1.425006167538183e-9,-1.9766485208685012,-1.0096307732023329,NA,Full adjustment,0.22466617458037233,0.13853274977074692,0.36435348380875643,0.7753338254196277,0.6356465161912436,0.8614672502292531
