treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,treated,treated_descr,time,interval,surv,surv.ll,surv.ul,n.risk,n.event,n.censor
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,0,1,1,1,1,NA,NA,NA
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,1,1,0.9994290712526396,0.9993888134563513,0.9994620094496027,1639440,942,63066
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,2,1,0.9987886063116904,0.998733709316752,0.998843503306629,1575432,1008,62934
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,3,1,0.9982066981653424,0.9981408217714162,0.9982725745592685,1511490,882,64152
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,4,1,0.9975955116216938,0.9975186558287799,0.9976723674146077,1446456,882,63540
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,5,1,0.9969221084837816,0.9968306134922174,0.9970099436756832,1382034,936,63480
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,6,1,0.9961864887516058,0.9960876741607164,0.996285303342495,1317618,972,63306
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,7,1,0.995406951423479,0.9952934976339395,0.995516745413356,1253340,978,67842
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,8,1,0.9946237542956898,0.9944993211071625,0.9947445276845546,1184520,936,58020
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unboosted,9,1,0.9938332375685754,0.9936978249810605,0.9939613305567653,1125564,894,53676
