treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,model_descr,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unadjusted,-0.6117217604485341,0.01036613810817965,0.010365889279825732,-59.012955274283826,0,-0.6320385301047223,-0.5914049907923459,0.5424161539471295,0.531507202456012,0.5535490068681537,0.4575838460528705,0.44645099313184633,0.468492797543988
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,Full adjustment,-0.6852238555050342,0.01039143667722167,0.010379265693698516,-66.01852922225982,0,-0.7055668424506554,-0.664880868559413,0.503977398831264,0.49382857190712665,0.5143347975023504,0.496022601168736,0.48566520249764955,0.5061714280928733
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,Unadjusted,-0.6085081756756475,0.007361277276276722,0.007360941091111793,-82.66717096953954,0,-0.6229353551065476,-0.5940809962447474,0.5441620580429161,0.5363676949247078,0.5520696869245053,0.45583794195708394,0.4479303130754947,0.4636323050752922
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,Full adjustment,-0.6994725839842586,0.007382513701357578,0.007372661916074087,-94.87381788920072,0,-0.7139227358099539,-0.6850224321585633,0.49684727991293925,0.48971938489564526,0.504078921869694,0.5031527200870607,0.49592107813030595,0.5102806151043547
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unadjusted,-1.2337786232485686,0.12169477756584617,0.12168534942427478,-10.139089291240877,3.705378032201737e-24,-1.472277525566319,-0.9952797209308183,0.29119019820146225,0.229402419889257,0.3696200396209407,0.7088098017985378,0.6303799603790593,0.770597580110743
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,Full adjustment,-1.2481045194879068,0.12186853808562453,0.12166808539304283,-10.258273691543398,1.0863134246289705e-24,-1.4865695849262146,-1.009639454049599,0.287048376128465,0.22614710487609924,0.36435032092554087,0.712951623871535,0.6356496790744591,0.7738528951239008
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,0,Unadjusted,-1.3908465858373493,0.08983186693964795,0.0898317112692826,-15.482801854548892,4.532928678347413e-54,-1.5669135045947442,-1.2147796670799544,0.24886453023823035,0.208688304843194,0.296775396480561,0.7511354697617696,0.7032246035194389,0.791311695156806
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,3,Full adjustment,-1.4030631172164114,0.08998908547316431,0.09001873446901988,-15.586345725614242,9.014479783096772e-55,-1.5794965947095647,-1.2266296397232581,0.24584276422660953,0.20607881326218175,0.2932793709641943,0.7541572357733904,0.7067206290358057,0.7939211867378182
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,Unadjusted,-1.3389391318849968,0.24827574965135502,0.24824246678409137,-5.393674777851518,6.903111442338458e-8,-1.8254854262151965,-0.8523928375547971,0.26212359969923943,0.16113940385044165,0.4263934200914495,0.7378764003007605,0.5736065799085506,0.8388605961495583
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,Full adjustment,-1.411053633216625,0.24862791929563233,0.2491659288300868,-5.663108274241066,1.4865529257612012e-8,-1.8994098798980654,-0.9226973865351846,0.24388618115008112,0.14965690871959822,0.3974455296775815,0.7561138188499189,0.6025544703224185,0.8503430912804018
