treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_descr,period_id,term_left,term_right,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.32688007148705495,0.019009964957891857,0.019006566395665475,-17.198270570406724,2.7357561604138653e-66,-0.36413225709232855,-0.28962788588178134,NA,Unadjusted,1,0,7,3.5,0.7211702267134433,0.6947992965312383,0.7485420588282592,0.27882977328655667,0.2514579411717408,0.3052007034687617
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.6321519265900097,0.022102935548965842,0.022104953937516294,-28.59774910080804,7.166028007263733e-180,-0.6754768401874586,-0.5888270129925609,NA,Unadjusted,2,7,14,10.5,0.5314469348244819,0.5089136922404202,0.5549778849355644,0.4685530651755181,0.44502211506443556,0.49108630775957984
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.0637195309403797,0.024225938058395895,0.02422922446955537,-43.90233506140364,0,-1.111207938274045,-1.0162311236067145,NA,Unadjusted,3,14,28,21,0.345169550847971,0.329161114527963,0.3619565421737222,0.6548304491520289,0.6380434578262778,0.6708388854720371
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-0.7837207190603198,0.030424330587237786,0.03042674148958453,-25.75762900304647,2.6476536100366524e-146,-0.8433560365468161,-0.7240854015738235,NA,Unadjusted,4,28,42,35,0.4567035804191203,0.4302641155911612,0.4847677340720548,0.5432964195808797,0.5152322659279451,0.5697358844088388
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,0,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.48934361967569107,0.02419843358234143,0.024195144961861998,-20.224868272003626,5.914819004333953e-91,-0.5367652324016663,-0.44192200694971584,NA,Unadjusted,5,42,70,56,0.6130286420950762,0.5846363596865476,0.6427997674151162,0.38697135790492376,0.35720023258488376,0.4153636403134524
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated_period_1,treated_period_1,treated_period_1,numeric,continuous,NA,NA,NA,NA,treated_period_1,-0.37952975805187755,0.019042214665406322,0.019043202664321635,-19.929933254501616,2.2386037027998853e-88,-0.41685374942424513,-0.34220576667950997,NA,Full adjustment,1,0,7,3.5,0.6841830651558011,0.6591173091814159,0.7102020537548124,0.3158169348441989,0.2897979462451876,0.34088269081858413
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated_period_2,treated_period_2,treated_period_2,numeric,continuous,NA,NA,NA,NA,treated_period_2,-0.7064289676533191,0.022153877812490723,0.02217120727606463,-31.862449295485977,8.850164571705663e-223,-0.7498837354081781,-0.6629741998984601,NA,Full adjustment,2,7,14,10.5,0.4934030133182408,0.4724214754381801,0.5153163990390546,0.5065969866817592,0.4846836009609454,0.5275785245618199
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated_period_3,treated_period_3,treated_period_3,numeric,continuous,NA,NA,NA,NA,treated_period_3,-1.1507668269495719,0.024287645771171682,0.024214479058433165,-47.5239142734642,0,-1.1982263338085002,-1.1033073200906436,NA,Full adjustment,3,14,28,21,0.3163940568422185,0.30172890394536367,0.33177199100290306,0.6836059431577814,0.6682280089970969,0.6982710960546363
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated_period_4,treated_period_4,treated_period_4,numeric,continuous,NA,NA,NA,NA,treated_period_4,-0.8664365644752721,0.030488712198897094,0.030398066964732608,-28.503015191081033,1.074849560714831e-178,-0.9260156809257848,-0.8068574480247593,NA,Full adjustment,4,28,42,35,0.4204471191823143,0.39612887413937614,0.4462582547479471,0.5795528808176857,0.5537417452520529,0.6038711258606239
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,3,treated_period_5,treated_period_5,treated_period_5,numeric,continuous,NA,NA,NA,NA,treated_period_5,-0.5734986397441313,0.024293104932441995,0.024232287255453445,-23.666715143246172,7.942358352115561e-124,-0.620993050027849,-0.5260042294604136,NA,Full adjustment,5,42,70,56,0.5635503260419007,0.5374104970146726,0.5909616052275616,0.4364496739580993,0.4090383947724384,0.4625895029853274
