treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,period,model,model_descr,term_left,term_right,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-0.6152905501512566,0.012386358562492832,0.012386212517007526,-49.6754394700075,0,-0.6395670805894506,-0.5910140197130626,14,0.5404838348334864,0.5275207485879502,0.5537654708336228,0.4595161651665136,0.4462345291663772,0.47247925141204983
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-0.6843247026435384,0.012412489858390349,0.012406002279712072,-55.16077518078779,0,-0.7086400203038958,-0.660009384983181,14,0.5044307553394091,0.49231327845237655,0.5168464838733795,0.49556924466059094,0.4831535161266205,0.5076867215476235
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-0.6033793470412079,0.018938550085282002,0.01893755478909129,-31.861523505071307,9.115375247623569e-223,-0.6404962723830808,-0.5662624216993349,49,0.5469601412991435,0.5270308082968925,0.5676430892849248,0.4530398587008565,0.4323569107150752,0.47296919170310747
pfizer,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-0.6873214200887835,0.018999440623959512,0.01894840950987251,-36.27330408553155,4.265588522294737e-288,-0.7244596202924499,-0.6501832198851172,49,0.502921381607816,0.484586358850897,0.5219501363556516,0.49707861839218404,0.4780498636443484,0.515413641149103
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-0.5965955167955567,0.0081536044081375,0.008153519964451524,-73.1703018324171,0,-0.61257612227311,-0.5806149113180034,14,0.550683240206158,0.5419529321998292,0.5595541845544214,0.449316759793842,0.4404458154455786,0.4580470678001708
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-0.6777181778511342,0.008177264066828303,0.008168927489871126,-82.96293224434362,0,-0.6937289815236007,-0.6617073741786677,14,0.5077743221479698,0.4997091841248537,0.5159696287839478,0.4922256778520302,0.4840303712160522,0.5002908158751462
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-0.6610005485113176,0.01711891814752297,0.017115472317106695,-38.6200588721502,0,-0.694546257831239,-0.6274548391913962,49,0.5163344582813827,0.49930095049052087,0.5339490592734017,0.4836655417186173,0.46605094072659825,0.5006990495094792
pfizer,postest,vax12_type-az-az,vax12_type,az-az,BNT162b2,Positive SARS-CoV-2 test,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-0.7950251819958583,0.01716703217525028,0.017120351419364344,-46.43743358542441,0,-0.8285804541804815,-0.761469909811235,49,0.4515698633489848,0.43666871781471206,0.4669795045211974,0.5484301366510151,0.5330204954788026,0.5633312821852879
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-1.1870249081065771,0.147497284706087,0.14749757164246793,-8.047758989442274,8.432379446194355e-16,-1.4761148363329306,-0.8979349798802236,14,0.30512769797674116,0.22852381832526342,0.4074101017342086,0.6948723020232588,0.5925898982657913,0.7714761816747366
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-1.196637062973211,0.14763774296841825,0.14739908066314003,-8.118348212143585,4.725712680607072e-16,-1.4855339524272797,-0.9077401735191424,14,0.30220881414519746,0.2263814314846309,0.40343488751747264,0.6977911858548025,0.5965651124825273,0.7736185685153691
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-1.3334154337162323,0.21537430468941074,0.21532116224521272,-6.1926817587846195,5.914907914119286e-10,-1.7554371568261549,-0.9113937106063098,49,0.26357549757811677,0.17283167122986323,0.4019636125091632,0.7364245024218832,0.5980363874908368,0.8271683287701368
