treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,subgroup_level_descr,period,model,model_descr,term_left,term_right,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,term_midpoint,hr,hr.ll,hr.ul,ve,ve.ll,ve.ul
pfizer,covidemergency,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-1.3581491266870709,0.21590069673074055,0.2155325186376762,-6.301365266232542,2.9503518521666745e-10,-1.780585100714124,-0.9357131526600178,49,0.2571362634329718,0.1685395058286027,0.39230599168547975,0.7428637365670282,0.6076940083145203,0.8314604941713973
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-1.2640374671544365,0.09978123224779369,0.09978230133149522,-12.66795263575923,8.900722951382557e-37,-1.4596071840586902,-1.068467750250183,14,0.28251109151837234,0.23232751876050473,0.34353449499530464,0.7174889084816276,0.6564655050046954,0.7676724812394953
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-1.2769545518646337,0.09995954259979524,0.10008405009239515,-12.758821717204494,2.783800204985402e-37,-1.4731156854726308,-1.0807934182566366,14,0.2788853393051459,0.22921022453496662,0.3393261912165758,0.7211146606948541,0.6606738087834242,0.7707897754650334
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-1.933210225442952,0.20637041219575572,0.20635906773221144,-9.368186465891798,7.378944347035501e-21,-2.337666566081348,-1.528753884804556,49,0.1446829871599881,0.09655267486078797,0.2168056638898842,0.8553170128400119,0.7831943361101158,0.903447325139212
pfizer,covidemergency,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 A&E attendance,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-1.9371286063329292,0.20669905100209437,0.2059632976437208,-9.405212620375748,5.192511551912647e-21,-2.3408092518517254,-1.5334479608141331,49,0.1441171733689135,0.09624971644431005,0.21579034647715375,0.8558828266310865,0.7842096535228462,0.90375028355569
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-1.217181850318517,0.2974820669446559,0.2975001720108072,-4.0913651985192825,4.2884119269483915e-5,-1.80027147285417,-0.634092227782864,14,0.29606334318117566,0.16525402015111704,0.5304167674435973,0.7039366568188243,0.46958323255640266,0.834745979848883
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-1.2678220917820087,0.2977956362674074,0.29852285397816475,-4.246985029409985,2.1666643080415913e-5,-1.8529161341413212,-0.6827280494226963,14,0.2814439137912031,0.15677930955498032,0.5052367996449945,0.718556086208797,0.49476320035500554,0.8432206904450197
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-1.6180553278973644,0.45069701175997856,0.4504351445689535,-3.5922048876665067,3.2789188442761466e-4,-2.500891988623606,-0.7352186671711232,49,0.1982839216072167,0.08201181238445658,0.47940061833566266,0.8017160783927832,0.5205993816643373,0.9179881876155435
pfizer,covidadmittedproxy1,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-1.740006772933112,0.4517139440612669,0.4524027852685306,-3.8461451379002987,1.1999070316927519e-4,-2.6266999385650394,-0.8533136073011843,49,0.1755192118330895,0.07231671850622588,0.4260009906264859,0.8244807881669105,0.5739990093735141,0.9276832814937741
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-1.6788144624296986,0.23842485025766977,0.2384219342756091,-7.041359124656022,1.9037363106235614e-12,-2.1461128667342684,-1.211516058125129,14,0.18659506041615406,0.11693782838593429,0.29774553754152133,0.813404939583846,0.7022544624584787,0.8830621716140657
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-1.66356081545723,0.23868209553491182,0.23913155602490122,-6.956676245957268,3.4839433422505307e-12,-2.1322500528330584,-1.1948715780814014,14,0.18946313427739192,0.11857020425823676,0.3027428305009386,0.8105368657226081,0.6972571694990615,0.8814297957417633
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-1.8997312755333595,0.40986312245792644,0.4101687735337683,-4.6315843577423355,3.6287808739646056e-6,-2.703647299242511,-1.0958152518242081,49,0.1496088173709329,0.06696084059154708,0.3342669840670232,0.8503911826290671,0.6657330159329768,0.933039159408453
pfizer,covidadmittedproxy1,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation (A&E proxy),Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-1.86637791732157,0.4106521112533541,0.4086100022218726,-4.5676266052541195,4.932777382620483e-6,-2.667238805399272,-1.0655170292438685,49,0.15468292269406506,0.0694437084193646,0.3445496664533835,0.845317077305935,0.6554503335466165,0.9305562915806354
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-1.332416179579966,0.08654915062843321,0.08655128764795844,-15.394527519907959,1.7812079470782125e-53,-1.502053586185531,-1.162778772974401,14,0.2638390081193628,0.22267241330613768,0.31261628313923906,0.7361609918806372,0.6873837168607609,0.7773275866938623
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-1.3390705337718767,0.08661243229569672,0.08665300001829689,-15.453250706716794,7.173265501127925e-54,-1.5089072929600873,-1.1692337745836663,14,0.26208915842651687,0.22115149977974646,0.3106048434359778,0.7379108415734832,0.6893951565640222,0.7788485002202535
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-1.9517131014254476,0.13592202458424563,0.13594991241039983,-14.356118858934597,9.753857584794713e-47,-2.218170033451206,-1.685256169399689,49,0.14203055031954476,0.10880804182585534,0.18539693285132935,0.8579694496804553,0.8146030671486706,0.8911919581741446
pfizer,covidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-1.974637567983125,0.1361184418741836,0.1361286545919696,-14.505671667011475,1.1154029186101286e-47,-2.2414448282472783,-1.7078303077189716,49,0.13881161289994937,0.10630480118905644,0.1812586417580263,0.8611883871000506,0.8187413582419737,0.8936951988109436
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-1.5169642387473428,0.0650098310825219,0.06501098380673552,-23.333968353055077,2.0049954887027205e-120,-1.644383425608061,-1.3895450518866246,14,0.21937685285229153,0.1931316060930565,0.24918864675203575,0.7806231471477085,0.7508113532479642,0.8068683939069435
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-1.5233708412545692,0.06510136015095545,0.06506496192895934,-23.413075118953415,3.1451167308131338e-121,-1.6508958232907993,-1.3958458592183391,14,0.21797588507047075,0.1918779428765754,0.24762349314333595,0.7820241149295293,0.752376506856664,0.8081220571234247
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-1.828924031592782,0.11259287496592947,0.11255450890771325,-16.249229367544668,2.261897349647164e-59,-2.0495268153494925,-1.6083212478360713,49,0.16058626059553677,0.12879583338255146,0.200223457660015,0.8394137394044632,0.799776542339985,0.8712041666174486
pfizer,covidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-1.8276354610193928,0.11286181084914863,0.11248726269237247,-16.247488091318992,2.3270543643836127e-59,-2.048106444615939,-1.6071644774228466,49,0.16079332070256072,0.1289789011961965,0.20045520424482396,0.8392066792974393,0.799544795755176,0.8710210988038035
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-0.5566027861441658,0.014509631572843313,0.014490786045005121,-38.41080700629233,0,-0.58500420490005145,-0.5282013673882802,14,0.5731528831104868,0.557103519242632,0.5896646064351854,0.42684711688951316,0.41033539356481463,0.442896480757368
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-0.5689840331822332,0.01452754129198805,0.014513481695515175,-39.20382752527642,0,-0.5974299345957242,-0.5405381317687422,14,0.5661002857431737,0.5502239319624127,0.5824347413888844,0.4338997142568263,0.4175652586111156,0.4497760680375873
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-0.5323956039324582,0.026249038787745142,0.026250600650534583,-20.28127321808982,1.8819640553694433e-91,-0.5838458357800497,-0.48094537208486676,49,0.5871965929283162,0.5577492246663771,0.618198687685972,0.41280340707168384,0.38180131231402803,0.4422507753336229
pfizer,noncovidadmitted,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-0.5701023417607021,0.026297000968639937,0.026311411151777875,-21.667493942915335,4.157772537975857e-104,-0.6216717600006122,-0.5185329235207919,49,0.5654675647919281,0.5370458749012103,0.595393395192789,0.43453243520807194,0.404606604807211,0.46295412509878975
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-0.5098289267288544,0.012936970210410554,0.012918145801871098,-39.46610717576894,0,-0.535148027247559,-0.48450982621014976,14,0.600598316342814,0.5855826015480893,0.615999069371599,0.399401683657186,0.384000930628401,0.4144173984519107
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-0.5273757742824431,0.012967483126420298,0.012959636353252379,-40.693717007737774,0,-0.5527761947875538,-0.5019753537773324,14,0.5901516304831995,0.575350306618547,0.6053337296522642,0.4098483695168005,0.3946662703477358,0.424649693381453
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-0.5554342345978035,0.025569126999131674,0.025563514318843714,-21.727616464234515,1.1249161161321704e-104,-0.6055378019810111,-0.5053306672145959,49,0.5738230332745946,0.5457808256879463,0.6033060489096779,0.4261769667254054,0.39669395109032213,0.4542191743120537
pfizer,noncovidadmitted,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 hospitalisation,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-0.5773697485802793,0.025646039650400812,0.025662892025262098,-22.498233948532643,4.319202986661452e-112,-0.6276680926889332,-0.5270714044716255,49,0.5613729784888716,0.5338352049093572,0.5903312821622102,0.4386270215111284,0.4096687178377898,0.4661647950906428
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-7.825503609544908,0.2978417108727743,0.22779854085057982,-34.35273808306744,1.2818808591323552e-258,-8.27198054534282,-7.379026673746996,14,3.994173852369625e-4,2.5557860464969323e-4,6.242081485975574e-4,0.999600582614763,0.9993757918514025,0.9997444213953504
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-8.255043719117399,0.29810251924655484,0.22704199213553505,-36.35910538606209,1.886698747315316e-289,-8.700037846681274,-7.810049591553525,14,2.5994416003335876e-4,1.6657950638684498e-4,4.056379311061792e-4,0.9997400558399666,0.9995943620688938,0.9998334204936131
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-2.5287341117795146,0.31400817974228623,0.31400043881851725,-8.053282095064352,8.060283755793432e-16,-3.144163662993581,-1.9133045605654482,49,0.07975992355398803,0.04310295757515018,0.14759185362736324,0.9202400764460119,0.8524081463726367,0.9568970424248499
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-2.6098254159930487,0.3146867013574987,0.31039618108379785,-8.408046152115746,4.1689711486335056e-17,-3.2181907518560653,-2.001460080130032,49,0.07354738283907264,0.04002741230912991,0.1351378270646619,0.9264526171609273,0.8648621729353381,0.9599725876908701
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-1.4586921535561532,0.20363470421792412,0.20363933982582166,-7.163115706443621,7.886372998416386e-13,-1.8578179254502767,-1.0595663816620298,14,0.23254020281810966,0.1560126905361994,0.34660607249857434,0.7674597971818904,0.6533939275014257,0.8439873094638006
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-1.489109130114819,0.20421497945265174,0.2042367413490402,-7.291093268913521,3.0744982238497403e-13,-1.8894057874787602,-1.088812472750878,14,0.22557352271117437,0.151161604272932,0.336615997118259,0.7744264772888256,0.663384002881741,0.848838395727068
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-2.6875009754111487,0.3275051953659217,0.3275016133509493,-8.206069423332075,2.2854729705321944e-16,-3.3293923424577714,-2.045609608364526,49,0.06805078764748088,0.035814861627508826,0.12930134276675823,0.9319492123525192,0.8706986572332418,0.9641851383724912
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-2.727935133241577,0.32814836540126807,0.326614167998705,-8.352164114486278,6.702344683958077e-17,-3.3680871393595533,-2.0877831271236005,49,0.06535409794403683,0.034455482883779885,0.12396163863050755,0.9346459020559632,0.8760383613694924,0.9655445171162201
pfizer,noncoviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,0,Unadjusted,0,28,-1.5671923943329031,0.059807673212520916,0.059806868013576334,-26.204221126863654,2.3787703378355376e-151,-1.6844117016676532,-1.449973086998153,14,0.20863011193157957,0.18555356070301612,0.23457660116934587,0.7913698880684205,0.7654233988306541,0.8144464392969839
pfizer,noncoviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,1,3,Full adjustment,0,28,-1.5982579004926112,0.05986648732598337,0.059953722955881215,-26.658192714216234,1.4381607064069298e-156,-1.7157650382252305,-1.4807507627599918,14,0.20224854836613407,0.1798260942390812,0.22746685062194266,0.797751451633866,0.7725331493780574,0.8201739057609188
pfizer,noncoviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,0,Unadjusted,28,70,-1.888602859896327,0.07468052678615374,0.07467985600728488,-25.289321121777434,4.186586014968286e-141,-2.0349726880412424,-1.7422330317514114,49,0.15128302483384307,0.13068405169271416,0.17512889527401404,0.848716975166157,0.824871104725986,0.8693159483072859
pfizer,noncoviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,Non-COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,BNT162b2-BNT162b2,2,3,Full adjustment,28,70,-1.9273586828976175,0.07481442246259036,0.07481816771018392,-25.760570485546307,2.4541734544912135e-146,-2.0739995969988554,-1.7807177687963793,49,0.14553208766600462,0.12568209736985436,0.1685171474987313,0.8544679123339953,0.8314828525012687,0.8743179026301456
pfizer,noncoviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,0,Unadjusted,0,28,-1.3454351542441412,0.05447134154980866,0.0544720352659813,-24.699557262263486,1.0812619335536426e-134,-1.4521983815300603,-1.2386719269582223,14,0.26042635756455274,0.234055179514999,0.289768796635385,0.7395736424354473,0.710231203364615,0.765944820485001
pfizer,noncoviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,1,3,Full adjustment,0,28,-1.395183966885015,0.05456464433168806,0.05468059698332272,-25.515156085631954,1.3384056435048588e-143,-1.502355967625477,-1.288011966144553,14,0.247787447489075,0.22260509148011426,0.2758185750600226,0.752212552510925,0.7241814249399774,0.7773949085198857
pfizer,noncoviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,0,Unadjusted,28,70,-1.6065967130429235,0.07172623204866788,0.07172409644436027,-22.399678667116227,3.964270897312806e-111,-1.7471733588975469,-1.4660200671883001,49,0.20056904788468802,0.17426583489431052,0.23084239658202585,0.799430952115312,0.7691576034179741,0.8257341651056895
pfizer,noncoviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,Non-COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,ChAdOx1-ChAdOx1,2,3,Full adjustment,28,70,-1.6700379702237977,0.07197017860013494,0.07225311581310435,-23.113715601464865,3.3704149000539368e-118,-1.8116514749882837,-1.5284244654593118,49,0.18823991799123493,0.1633840891389031,0.2168770956345814,0.811760082008765,0.7831229043654186,0.8366159108610969
